"","Artist.ID","Band.ID","Band.name"
"5515",-1865,107315,"House of Low Culture"
"5516",-1865,56189,"Fungal Hex"
"5517",-1865,3540373929,"Äänipää"
"5726",-1936,9944,"Meathook Seed"
"5727",-1936,219,"Napalm Death"
"5728",-1936,2907,"Defecation"
"5729",-1936,3056,"Righteous Pigs"
"5730",-1936,3540378150,"Menace"
"5731",-1936,3540330512,"Absolute Power"
"5732",-1936,32521,"Regurgitation"
"6075",-2058,1555,"Woods of Ypres"
"6076",-2058,4523,"Shadows of Dawn"
"6077",-2058,32291,"The Green Evening Requiem"
"6078",-2058,99835,"Dead Until Dawn"
"6079",-2058,101859,"Woe"
"6080",-2058,3540324254,"Sylvan Realm"
"6161",-2089,3540274132,"Kastasyde"
"6162",-2089,3540344931,"Soulfly"
"6163",-2089,2303,"Insatanity"
"6164",-2089,3013,"Council of the Fallen"
"6165",-2089,23259,"D.O.T.A.C."
"6166",-2089,1031,"Divine Empire"
"6167",-2089,629,"Borknagar"
"6212",-2112,32854,"John Petrucci"
"6213",-2112,37,"Dream Theater"
"6214",-2112,389,"Liquid Tension Experiment"
"6215",-2112,2213,"Majesty"
"6223",-2116,37,"Dream Theater"
"6224",-2116,1726,"Platypus"
"6225",-2116,1728,"The Jelly Jam"
"6226",-2116,2213,"Majesty"
"6249",-2126,37,"Dream Theater"
"6250",-2126,389,"Liquid Tension Experiment"
"6251",-2126,4252,"Vinnie Moore"
"6252",-2126,21894,"Jordan Rudess"
"6253",-2126,112408,"Liquid Trio Experiment"
"6282",-2138,9373,"Derek Sherinian"
"6283",-2138,9173,"Theodore Ziras"
"6284",-2138,1726,"Platypus"
"6285",-2138,37,"Dream Theater"
"6286",-2138,84,"Yngwie J. Malmsteen"
"6287",-2138,3267,"Planet X"
"6288",-2138,4141,"All Too Human"
"6289",-2138,3540382017,"Pentakill"
"6290",-2138,3540432636,"Sons of Apollo"
"6294",-2141,98854,"Underoath"
"6341",-2161,98854,"Underoath"
"6363",-2175,98854,"Underoath"
"6378",-2185,98854,"Underoath"
"6392",-2196,70037,"Necrite"
"6393",-2196,25014,"Sentenced to Burn"
"6394",-2196,3540317044,"Circle of Eyes"
"6395",-2196,3540333939,"Black Fucking Cancer"
"6414",-2201,3540321344,"Sutekh Hexen"
"6415",-2201,3540317044,"Circle of Eyes"
"6418",-2203,3540368026,"Caffa"
"6419",-2203,3540446501,"Evulse"
"6420",-2203,3540437456,"GraveCoven"
"6421",-2203,3540438550,"Atone"
"6422",-2203,3540317044,"Circle of Eyes"
"6423",-2203,3540333998,"Swamp Witch"
"6494",-2223,8414,"John West"
"6495",-2223,7384,"Mullmuzzler"
"6496",-2223,1267,"Zero Hour"
"6497",-2223,4118,"Magellan"
"6498",-2223,4205,"Dali's Dilemma"
"6499",-2223,3540442300,"Beyond the Katakomb"
"6500",-2223,3540278640,"Eumeria"
"6501",-2223,3540311693,"James LaBrie"
"6671",-2280,36147,"Thy Light"
"6939",-2379,98854,"Underoath"
"6976",-2394,173,"Exodus"
"6977",-2394,3540330877,"Generation Kill"
"6983",-2397,9562,"Leviathan"
"6984",-2397,991,"Krieg"
"6985",-2397,3540406790,"Martröð"
"6986",-2397,3540365112,"Hate Meditation"
"6987",-2397,3540312615,"Von Goat"
"6988",-2397,37266,"Lurker of Chalice"
"6989",-2397,44905,"Twilight"
"7110",-2436,1800,"Hawk"
"7224",-2476,34723,"Havok"
"7225",-2476,3540265282,"DDC"
"7318",-2505,3540330759,"Cyanic"
"7319",-2505,3540333939,"Black Fucking Cancer"
"7320",-2505,3540317044,"Circle of Eyes"
"7321",-2505,25014,"Sentenced to Burn"
"7322",-2505,70037,"Necrite"
"7633",-2634,8571,"3 Inches of Blood"
"7760",-2683,3024,"Anal Blast"
"7761",-2683,3540309791,"Minenwerfer"
